"user_id","nickname","group_a","group_b","group_c","create_time","update_time"
"410421579","ylxdzsw","50","49","1","28/8/2022 18:23:12","28/8/2022 18:23:12"
"435786117","梦见月球的猫","4","51","45","28/8/2022 17:52:21","28/8/2022 17:52:21"
"448246588","moyan","1","1","98","28/8/2022 17:54:29","28/8/2022 17:54:29"
"466353494","锶氚钴铑鰇镓钌碘碳XIV世","49","2","49","28/8/2022 18:23:12","28/8/2022 18:23:12"
"471002006","半岛铁盒","1","49","50","28/8/2022 22:48:02","28/8/2022 22:48:04"
"498358698","丘山金夕嘴","35","1","64","28/8/2022 22:46:22","28/8/2022 22:46:25"
"502840647","纯粹感性批判","40","59","1","28/8/2022 22:51:10","28/8/2022 22:51:12"
"542231415","嘟嘟嘟嘟","50","49","1","28/8/2022 18:23:12","28/8/2022 18:23:12"
"592261707","魂安故乡","42","57","1","28/8/2022 18:23:12","28/8/2022 18:23:12"
"609706115","Re 689","50","32","18","28/8/2022 18:23:12","28/8/2022 18:23:12"
"617350587","jianke","1","1","98","28/8/2022 22:43:59","28/8/2022 22:44:02"
"649309762","秋人P","3","51","46","28/8/2022 18:23:12","28/8/2022 18:23:12"
"774971443","非人哉","33","34","33","28/8/2022 22:58:12","28/8/2022 22:58:15"
"784446480","Rice Shower","51","2","47","28/8/2022 23:45:45","28/8/2022 23:45:47"
"872768758","工藤新一","49","49","2","28/8/2022 18:23:12","28/8/2022 18:23:12"
"897745331","yuanyuan","50","2","48","28/8/2022 18:23:12","28/8/2022 18:23:12"
"962735942","MC_GZSHS","85","10","5","28/8/2022 22:44:41","28/8/2022 22:44:45"
"996001662","泥咚森","50","49","1","28/8/2022 18:23:12","28/8/2022 18:23:12"
"1129504899","新语晨香","1","49","50","28/8/2022 18:23:12","28/8/2022 18:23:12"
"1158153804","梨花","40","59","1","28/8/2022 18:23:12","28/8/2022 18:23:12"
"1420125167","•́ωก","10","80","10","28/8/2022 17:54:29","28/8/2022 17:54:29"
"1434469194","喵下士","33","34","33","28/8/2022 18:23:12","28/8/2022 18:23:12"
"2488658940","柚子ち","24","52","24","28/8/2022 22:59:51","28/8/2022 22:59:54"
"2590766963","六","40","10","50","28/8/2022 18:23:12","28/8/2022 18:23:12"
"2592363260","錬金術師LV6","2","2","96","28/8/2022 22:43:15","28/8/2022 22:43:19"
